CustomerID,Age,Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,NumProducts,SupportCalls,MonthlyCharges,TotalCharges,Churn
CUST0001,40,Male,0,0,1,52,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,1,7,107.18,5267.69,0
CUST0002,24,Female,0,1,0,15,One Year,0,Bank Transfer,DSL,1,1,2,2,41.92,555.43,0
CUST0003,63,Female,0,1,0,72,Month-to-Month,1,Mailed Check,DSL,1,0,1,9,117.59,7605.02,1
CUST0004,51,Female,0,0,1,61,One Year,1,Mailed Check,No,0,1,2,7,53.69,3200.44,0
CUST0005,59,Female,0,0,1,21,One Year,0,Mailed Check,DSL,0,1,1,7,38.21,769.78,0
CUST0006,36,Male,0,1,0,24,Month-to-Month,0,Mailed Check,DSL,0,0,4,4,98.97,2052.98,1
CUST0007,26,Male,0,0,1,3,Month-to-Month,1,Mailed Check,DSL,0,1,2,7,85.87,235.53,0
CUST0008,65,Male,0,1,0,22,Month-to-Month,1,Electronic Check,No,1,1,2,5,69.82,1312.35,0
CUST0009,68,Female,1,0,0,53,Two Year,1,Mailed Check,Fiber Optic,0,1,3,4,75.54,3691.87,0
CUST0010,35,Female,0,1,0,2,One Year,1,Credit Card,Fiber Optic,0,1,3,8,91.92,174.53,0
CUST0011,58,Male,0,1,0,30,Month-to-Month,1,Bank Transfer,No,0,1,1,6,42.85,1115.53,0
CUST0012,65,Male,1,1,0,38,Month-to-Month,1,Mailed Check,DSL,1,1,2,7,119.63,4061.04,0
CUST0013,62,Female,0,0,0,2,One Year,1,Electronic Check,DSL,1,1,1,0,117.48,213.74,1
CUST0014,59,Female,0,0,0,64,Two Year,1,Credit Card,DSL,0,1,4,1,85.03,5376.23,0
CUST0015,42,Female,0,1,0,60,Month-to-Month,1,Credit Card,Fiber Optic,1,1,3,7,39.95,2394.57,1
CUST0016,69,Female,0,1,0,21,Month-to-Month,1,Bank Transfer,DSL,0,0,1,8,88.02,1583.61,1
CUST0017,31,Male,0,1,0,33,Two Year,0,Credit Card,DSL,1,0,1,3,27.22,866.06,0
CUST0018,61,Female,0,1,0,58,Month-to-Month,0,Credit Card,Fiber Optic,0,1,3,9,23.07,1211.96,1
CUST0019,42,Female,0,0,0,22,Month-to-Month,1,Credit Card,DSL,0,0,2,9,45.77,915.18,1
CUST0020,36,Male,1,0,1,49,Two Year,1,Credit Card,No,1,1,1,8,66.26,3127.06,1
CUST0021,56,Male,0,1,0,59,One Year,1,Electronic Check,Fiber Optic,1,1,3,3,106.83,6225.85,0
CUST0022,72,Male,0,0,0,42,Month-to-Month,0,Bank Transfer,DSL,0,1,2,9,92.72,3865.58,1
CUST0023,32,Female,0,0,1,60,Month-to-Month,1,Mailed Check,Fiber Optic,1,1,4,9,94.27,5297.42,0
CUST0024,33,Female,0,0,0,15,Month-to-Month,0,Credit Card,DSL,1,1,3,9,62.55,847.77,1
CUST0025,44,Female,0,1,1,62,Month-to-Month,1,Electronic Check,Fiber Optic,1,0,1,8,54.59,3276.72,0
CUST0026,57,Female,0,1,0,62,Two Year,0,Bank Transfer,DSL,0,1,4,6,57.1,3142.46,0
CUST0027,27,Male,0,0,0,47,Month-to-Month,0,Mailed Check,No,0,0,2,1,118.76,5216.74,0
CUST0028,21,Male,1,0,0,62,One Year,0,Bank Transfer,Fiber Optic,1,0,2,8,24.01,1345.4,0
